start tick,stop tick,cheat,player name
7614,7634,SPIN,社会雄
8104,8124,SPIN,<AW>  Night-Walker
9120,9140,SPIN,Be4z
9194,9214,SPIN,我一个女孩子守不住B啊
9250,9270,SPIN,𝗛𝘆𝗽𝗶𝘅𝗲𝗹 𝗦𝗸𝘆 WeGame
10782,10802,SPIN,3507922036
10910,10930,SPIN,114514
10934,10954,SPIN,Be4z
14258,14278,SPIN,3507922036
14464,14484,SPIN,我一个女孩子守不住B啊
14828,14848,SPIN,Be4z
15264,15284,SPIN,3507922036
15714,15734,SPIN,开挂你死妈
15750,15770,SPIN,开挂你死妈
16628,16648,SPIN,开挂你死妈
18972,18992,SPIN,114514
18990,19010,SPIN,114514
19172,19192,SPIN,Be4z
19290,19310,SPIN,10010
21538,21558,SPIN,开挂你死妈
21774,21794,SPIN,114514
22248,22268,SPIN,开挂你死妈
24487,24507,SPIN,开挂你死妈
24963,24983,SPIN,𝗛𝘆 WeGame
25565,25585,SPIN,开挂你死妈
27619,27639,SPIN,114514
27927,27947,SPIN,114514
28681,28701,SPIN,我一个女孩子守不住B啊
28723,28743,SPIN,114514
31599,31619,SPIN,114514
31697,31717,SPIN,3507922036
31727,31747,SPIN,10010
31923,31943,SPIN,我一个女孩子守不住B啊
32263,32283,SPIN,我一个女孩子守不住B啊
32523,32543,SPIN,我一个女孩子守不住B啊
32675,32695,SPIN,开挂你死妈
35589,35609,SPIN,114514
36017,36037,SPIN,开挂你死妈
36267,36287,SPIN,开挂你死妈
36271,36291,SPIN,10010
38662,38682,SPIN,114514
38756,38776,SPIN,开挂你死妈
39000,39020,SPIN,开挂你死妈
41308,41328,SPIN,𝑽𝑰𝑷⚡开挂sǐmā⚡
41616,41636,SPIN,Be4z
41950,41970,SPIN,10010
43012,43032,SPIN,10010
45264,45284,SPIN,开挂你死妈
45876,45896,SPIN,3507922036
46378,46398,SPIN,10010
46746,46766,SPIN,开挂你死妈
49126,49146,SPIN,𝗛𝘆𝗽𝗶𝘅𝗲𝗹 𝗦𝗸 WeGame
49182,49202,SPIN,Be4z
49826,49846,SPIN,我一个女孩子守不住B啊
49964,49984,SPIN,开挂你死妈
50028,50048,SPIN,Be4z
50034,50054,SPIN,𝑽𝑰𝑷⚡开挂sǐmā⚡
50152,50172,SPIN,Be4z
66588,66608,SPIN,CZ6+1
69106,69126,SPIN,CZ6+1
71757,71777,SPIN,3507922036
71863,71883,SPIN,3507922036
71889,71909,SPIN,3507922036
71981,72001,SPIN,CZ6+1
