Start tick,Stop tick,Cheet,Player name
12754,12754,AIM,-ZERO
13239,13239,AIM,-ZERO
13442,13442,AIM,-ZERO
17706,17706,AIM,-ZERO
19354,19354,AIM,-ZERO
22457,22457,WH+TRIGGER,-ZERO
23053,23053,AIM,-ZERO
23100,23300,WH,-ZERO
24000,24100,WH,-ZERO
24100,24100,AIM,-ZERO
26404,26404,AIM,-ZERO
26854,26854,AIM,-ZERO
32000,32700,WH,-ZERO
37457,37457,AIM,-ZERO
38150,38150,AIM,-ZERO
42237,42350,AIM,-ZERO
44700,44800,AIM,-ZERO
44000,44800,WH,-ZERO
48554,48554,AIM,-ZERO
49000,50000,WH,-ZERO
8594,8594,TRIGGER,PER8N
8000,10500,WH,PER8N
8700,8700,AIM,PER8N
12500,12900,AIM+WH,PER8N
13600,13900,WH,PER8N
16977,17500,WH,PER8N
22443,22443,AIM,PER8N
29000,29000,AIM,PER8N
28500,29000,WH,PER8N
32500,32500,AIM,PER8N
34000,35000,WH,PER8N
38853,38853,AIM,PER8N
45330,45330,AIM,PER8N
45700,45700,AIM,PER8N
45000,45700,WH,PER8N
47800,47800,AIM,PER8N
48500,48500,AIM,PER8N
48624,48624,AIM,PER8N
23000,24000,WH,NANZE
26224,26224,AIM,NANZE
26000,27000,BHOP,NANZE
26460,26460,AIM,NANZE
26864,26864,AIM,NANZE
29000,29000,AIM,NANZE
28400,29000,BHOP,NANZE
29147,29147,AIM,NANZE
29372,29372,AIM,NANZE
29855,29855,AIM,NANZE
29000,30000,WH,NANZE
30000,30000,AIM,NANZE
32300,32400,WH,NANZE
32490,32490,AIM,NANZE
32800,34000,BHOP,NANZE
34500,35100,BHOP,NANZE
35400,35550,BHOP,NANZE
36500,37200,BHOP,NANZE
37700,37700,AIM,NANZE
37500,37700,WH,NANZE
38000,38000,AIM,NANZE
38000,38800,BHOP,NANZE
41000,41500,BHOP,NANZE
49700,49700,AIM,NANZE
44000,44500,BHOP,NANZE
45300,45500,BHOP,NANZE
48000,48250,BHOP,NANZE
49700,49700,AIM,NANZE
